ID,Hours Studied per day,Hours Slept per day
1,10,4.1
2,1.3,8.2
3,2.4,7.5
4,4,8
5,5,6
6,5,5.5
7,5,6
8,3,5.2
9,2,7.5
10,6,6.1
11,3,9
12,3.5,8.5
13,3,9.2
14,6,5.5
15,4,8.2
16,3,9
17,6.1,5.3
18,2.3,7
19,9,3
20,2.5,7.3
21,5.5,5
22,3.1,8.4
23,6.2,5.2
24,5,5.5
25,2.5,8.1
26,4,8
27,5,6
28,11,3
29,9.1,5
30,5,5.5
31,9,4.5
32,7.4,4
33,9.2,3.5
34,3.5,8.5
35,9.1,4.5
36,0.5,9
37,3,9.3
38,8.5,3
39,5.5,5
40,4,5.5
41,5,5
42,9,3
43,2.1,8.2
44,1,9
45,3,9
46,5,5.1
47,5,8
48,4,8.3
49,2.3,8.1
50,10,4
